Company name,Company domain name,Website URL,Phone number,City,State/Region,Country/Region,FieldCred Tier,FieldCred Trade Category,Trade (as listed),FieldCred Fit Score,Union Signatory,Est Field Workers,Prequal Network,General Company Email,Lead Source Directory,Lead Source URL,FieldCred Notes
"VM SYSTEMS, INC.",vmsystemsinc.com,https://www.vmsystemsinc.com,(419) 535-1044,Toledo,OH,United States,B — Commercial/industrial trade,Sheet Metal,HVAC / sheet metal,73,Yes,,,tinman@vmsystemsinc.com,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"'HVAC/Sheet Metal Contractor', Signatory | ENRICH 2026-07-28: BEST RESULT OF THIS BATCH — named safety contact WITH a published email. /safety prints 'Jeff King – Safety & Health Manager, jeff.king@vm-cos.com' and 'Rob Harris – Field Safety, rob.harris@vm-cos.com'. Note both safety emails use the vm-cos.com parent domain, NOT vmsystemsinc.com. The general inbox tinman@vmsystemsinc.com is published separately at https://vmsystemsinc.com/contact/ (that page is the source for Company Email; the Source URL field holds the safety page). 3125 Hill Avenue, Toledo OH 43607; phone 419.535.1044 matches; fax 419-535-8644."
"Marlin White & Sons, Inc.",marlinwhiteandsons.com,https://www.marlinwhiteandsons.com,(419) 332-3631,Fremont,OH,United States,B — Commercial/industrial trade,Piping & Plumbing,mechanical / plumbing,73,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"MCA NWO signatory mechanical contractor | ENRICH 2026-07-28: Stored website marlinwhiteandsons.com confirmed correct via the MCA NWO membership directory ('Marlin White & Sons Inc.', 419-332-3631). However the site could not be fetched on four separate attempts (robots.txt connect timeout) at root, /contact and www/non-www variants, so no contact data was captured. Worth a manual retry."
Starboard Industries,starboardind.com,https://www.starboardind.com,(734) 636-8080,Monroe,MI,United States,B — Commercial/industrial trade,Electrical,,65,No,,,info@starboardind.com,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 26 – Electrical. Monroe — Marathon refinery / DTE Monroe plant corridor. Geographically ideal (30 min from Toledo). | ENRICH 2026-07-28: WEBSITE FOUND (field was blank): starboardind.com. info@starboardind.com printed on home and /contact; phone 734.636.8080 on site matches record. No staff named anywhere on site. CORRECTION: company self-describes as 'TECHNOLOGY | NETWORK & INFRASTRUCTURE | SECURITY — Low Voltage Solutions', not a Division 26 power contractor. Offices: 12 W First St, Monroe MI 48161 and 4074 Marshall Rd, Kettering OH 937.254.2236."
Erickson's,ericksonsgr.com,https://www.ericksonsgr.com,(231) 744-1686,North Muskegon,MI,United States,A — Industrial/turnaround,Crane & Rigging,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Crane, rigging, special transport, engineering""."
"J & J Electric, Inc.",jandjelect.com,https://www.jandjelect.com,(586) 757-7080,Warren,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,same@jandjelect.com,SMCNECA member list,https://www.smcneca.org/members,ENRICH 2026-07-28: SMC NECA member directory (https://www.smcneca.org/members) lists contact 'Sam Ellison' with email Same@jandjelect.com. No title given there. Same address appears as the general inbox on the company's own site (https://jandjelect.com/contact/ and /about/) — recorded as both contact and company email. Company site has a /safety/ page but names no safety director.
"Central Conveyor Company, LLC",centralconveyor.com,https://centralconveyor.com,(248) 446-0118,,MI,United States,A — Industrial/turnaround,Millwright,,58,No,,,info@centralconveyor.com,CAM Buyers Guide – Millwrighting category,https://www.cambuyersguide.com/listings/category/53200-millwrighting,"Also under Machinery Moving Rig. & Erect. Name only — no contact detail on category page. | ENRICH 2026-07-28: 52800 Pontiac Trail, Wixom MI. No named staff published; dept inboxes only (estimating@, purchasing@, hr@, sales@)."
"J. Ranck Electric, Inc.",jranck.com,https://www.jranck.com,(989) 775-7393,Mt. Pleasant,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,info@jranck.com,MI NECA member list (Bay City Division),https://michiganneca.org/neca-members/,"Also listed with Flint (810-424-9700) and Sault Ste. Marie (906-632-6721) offices — multi-branch, suggests larger field headcount. | ENRICH 2026-07-28: Website was blank — found and added https://www.jranck.com. Leadership on /who-we-are: Adam J. Ranck, Chief Executive Officer / President; Angie M. Wood, Vice President / HR Director. General inbox info@jranck.com and 800-792-3822 on /contact. /safety describes their 'Safe 365' program but names no safety director. No personal emails printed."
Newkirk Electric Associates,newkirk-electric.com,https://www.newkirk-electric.com,(810) 742-4400,Flint,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,info@newkirk-electric.com,MI NECA member list (Flint Division),https://michiganneca.org/neca-members/,"Also listed with Lansing (517-977-0926) and Muskegon (231-722-1691) offices — multi-branch. | ENRICH 2026-07-28: Website was blank — added https://www.newkirk-electric.com. Contact name 'Ted Anton' from the MI NECA contractor directory page (no title, no email there). HIGH VALUE: their own https://www.newkirk-electric.com/contact-us/ publishes a dedicated safety inbox, safety@newkirk-electric.com, alongside info@newkirk-electric.com — good direct route for this product even though no safety director is named. /safety, /safety/commitment-to-safety and /about-us name no individuals with titles (only founder Arland Newkirk and 1973 shareholder Chris Anton, historical). Corporate office is Muskegon (231-722-1691); stored city Flint is the branch."
"Goyette Mechanical Company, Inc.",construction.goyettemechanical.com,https://construction.goyettemechanical.com,(810) 743-6883,Flint,MI,United States,B — Commercial/industrial trade,HVAC & Controls,,55,Yes,,,,Michigan MCA member list,https://www.michiganmca.org/members,"Also in SMACNA Metro Detroit HVAC category list. | ENRICH 2026-07-28: SAFETY DIRECTOR FOUND. /safety states verbatim: 'Our team of eight safety professionals, and growing, is led by Corporate Safety Director, Thomas Goyette, ASP, CSP.' No email published for him; /contact prints no names and no email address. Website added: www.goyettemechanical.com 302-redirects to construction.goyettemechanical.com. Separately, the Michigan MCA member directory lists Dominic Goyette (dgoyette@goyettemechnaical.com — domain misspelling is as printed) and Leif Johnson (ljohnson@goyettemechanical.com), neither with a title."
GRUNWELL-CASHERO COMPANY,gcbuildingrestoration.com,https://www.gcbuildingrestoration.com,(419) 476-2426,Toledo,OH,United States,A — Industrial/turnaround,Concrete & Restoration,building restoration,91,Yes,,,,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"Signatory; restoration work (swing stage / fall protection profile) | ENRICH 2026-07-28: STRONG FIT — Mike Stislicki, 'Safety/Quality Manager', published on gcbuildingrestoration.com/staff/. Toledo office also lists Keith Fisher, General Manager (419-476-2426) as a local backup. NO email addresses published anywhere on the site (phone only). /safety references 'Qualified Safety Administrator with 30 Hour OSHA Training' but names nobody."
Industrial Resourcing Group,industrialresourcinggroup.com,https://industrialresourcinggroup.com,(419) 394-1770,,OH,United States,A — Industrial/turnaround,Industrial Staffing,industrial staffing,77,No,,,,MCA of NW Ohio membership directory,https://mcanwo.org/membership-directory/,"No city shown in the directory listing. Staffing agency — high-turnover credential profile | ENRICH 2026-07-28: Checked industrialresourcinggroup.com home and /contact. No names, titles or email addresses published anywhere — phone only. Offices: Cleveland/Hudson OH 6231 Chittenden Rd (234-380-1100) and St. Marys OH 14381 S.R. 116 (419-394-1770, matches record), plus a London location. St. Marys OH is the city for this record. Nothing recordable."
Graye Electrical Services Inc.,grayeelectricalservices.com,https://grayeelectricalservices.com,(734) 744-0216,Livonia,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 26 – Electrical. | ENRICH 2026-07-28: WEBSITE CORRECTED — stored URL https://www.grayeelectricalservices.com fails DNS (www host does not resolve); the working canonical is https://grayeelectricalservices.com. NOTHING ELSE FOUND: tiny 3-page static site (index/about/generators), NO email address and NO named people or titles on any page. Confirmed 12257 Market Street, Livonia MI 48150; phone 734.744.0216 matches stored value; fax 734.744.0221. Trades as 'Graye Electrical Service Inc.' on its own about page."
Advantage Mechanical Group LLC,,,(810) 484-2990,Flint,MI,United States,B — Commercial/industrial trade,Mechanical,,55,No,,,,Michigan MCA member list,https://www.michiganmca.org/members,"ENRICH 2026-07-28: No company website found. Contact from the Michigan MCA member directory, which prints 'Jeffrey Howard / jhoward@advantagemechanical.group / 810-484-2990'. Corroborated by the Builders Exchange of Michigan member listing, which also names Jeffrey Howard. NO job title published — Title left blank."
"Eco Mechanical Insulation, LLC",,,(616) 446-5231,Grand Haven,MI,United States,A — Industrial/turnaround,Insulation,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Mechanical insulation install, design, fabrication"". | ENRICH 2026-07-28: contact name from West Michigan Building Trades union directory; no title or email published. No company website found."
"Mechanical Heat & Frost Insulation II, LLC",,,,,MI,United States,A — Industrial/turnaround,Insulation,,72,Yes,,,,CAM Buyers Guide – Insulation category,https://www.cambuyersguide.com/listings/category/44400-insulation,Name only in source — no phone/city. Name indicates Heat & Frost Insulators (Local 25) signatory work. | ENRICH 2026-07-28: no company website exists (Ferndale MI address only via directories). No public contact page.
Utilities Instrumentation Service Inc.,teamuis.com,https://www.teamuis.com,(800) 277-5740,Dexter,MI,United States,B — Commercial/industrial trade,Electrical,,59,Yes,,,,SMCNECA member list,https://www.smcneca.org/members,"MI NECA Southcentral Division also lists it at Dexter, MI, 734-424-1200. | ENRICH 2026-07-28: https://teamuis.com/team-uis-experts/ publishes Andy Gohl COO (Ann Arbor MI), Ken Wesley COO (Ann Arbor), Mark Beucler COO (Dayton OH), Brian Willis General Manager (Dayton OH), David Hite Sr. Project Manager, Duane Carr Project Manager. Homepage additionally lists Gary Walls President (Ann Arbor) and Kevin Mitchell Sr. Engineer. NO safety/EHS title published anywhere. Picked Andy Gohl, COO, as the Michigan-side operations lead (three people carry COO). ZERO email addresses published site-wide; /contact-us checked. Offices: Ann Arbor (800) 277-5740, Dayton OH (866) 439-9660, Grand Rapids."
"Bayes, Inc.",bayesinc.com,https://www.bayesinc.com,(419) 661-3933,Perrysburg,OH,United States,A — Industrial/turnaround,Piping & Plumbing,mechanical / industrial / piping,87,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Services: Mechanical, Industrial, Plumbing. MCA NWO also lists it as a pipe-welding contractor (Toledo, OH) | ENRICH 2026-07-28: /team publishes 7 names with titles and no safety/EHS role. Highest-priority match = Paul Matney, Vice President of Operations — no email printed for him. Also listed: Chris Bayes, President; Letty Hoffman, CFO; Jason Widmer, Director of Preconstruction Services; Nick Foos, Director of Technology & Fabrication. The ONLY email published on the whole site is Tyler Wicker, Business Development Manager — twicker@bayesinc.com — which also serves as the address on /contact; it is a personal address, not a general inbox, so it was NOT recorded in Company Email. 7414 Ponderosa Road, Perrysburg OH 43551."
Refrigeration Mechanics,refmech.com,http://www.refmech.com,(419) 352-0444,Bowling Green,OH,United States,B — Commercial/industrial trade,HVAC & Controls,,55,No,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"ENRICH 2026-07-28: Company website appears to be refmech.com (titled 'Refrigeration Mechanics – Supermarket – Commercial – Restaurant – HVAC – Mechanical Trades'); added to Website. UNVERIFIED — the site could not actually be fetched because its TLS certificate does not match the refmech.com / www.refmech.com hostname, so no page content was read and no contact data was captured."
Dobson Industrial,dobsonindustrial.com,https://dobsonindustrial.com,(989) 684-7131,Bay City,MI,United States,A — Industrial/turnaround,Crane & Rigging,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Steel Erection, Fabrication, Rigging"". Also appears in CAM Buyers Guide 'Machinery Moving Rig. & Erect.' category. | ENRICH 2026-07-28: email lynnevlk@dobsonindustrial.com printed on homepage; no job title published anywhere on site."
"DUNBAR MECHANICAL, INC.",dunbarinc.com,https://dunbarinc.com,(419) 537-1900,Toledo,OH,United States,B — Commercial/industrial trade,Mechanical,,83,Yes,,,info@dunbarinc.com,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"Signatory. UA Local 50 lists services as Mechanical, Industrial, Plumbing, HVAC, Control, Energy Auditing; MCA NWO lists it as a pipe-welding and boilermaker contractor | ENRICH 2026-07-28: Company now brands as 'Dunbar Inc.' on dunbarinc.com (dunbarmechanical.com resolves there). Leadership page names Erik Dunbar President, Bret Donnelly VP, Brad Rucki Director of Construction, Amy Liggett Director of Service Operations — NO safety/EHS role published and no individual emails. General inbox info@dunbarinc.com printed on the contact page. Toledo corporate 2806 N Reynolds Rd."
Hanks Plumbing & Heating Co.,,,(419) 843-2222,Toledo,OH,United States,B — Commercial/industrial trade,Piping & Plumbing,,55,No,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"ENRICH 2026-07-28: No company-owned website found by search for Hanks Plumbing & Heating Co. (Toledo OH), and the company is not listed in the MCA NWO membership directory. Only aggregators and DOT/licensing records were available, neither of which were used as a contact source. Nothing recorded."
"Valley Electrical Contractors, Inc.",valleyelectrical-midland.com,https://valleyelectrical-midland.com,(989) 835-2154,Midland,MI,United States,B — Commercial/industrial trade,Electrical,,55,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Electrical contracting"". Contact shown on 2019 source: Kevin Wray — verify. | ENRICH 2026-07-28: WEBSITE FOUND (field was blank): valleyelectrical-midland.com — homepage fetched OK, confirms full-service commercial/residential/industrial electrical contractor since 1981. Every interior page tried (/contact, /contact-us, /about, /about-us) is robots-blocked to automated fetch, so no name or email could be verified on the company's own domain. Existing note 'Kevin Wray (2019)' could NOT be verified — leave flagged. A 'Michael Parsons, President' appears on ZoomInfo only; aggregator source, deliberately not used. No contact fields recorded; status left Not contacted. Needs a manual browser visit."
"Merit Plumbing, Inc.",meritplumbing.com,https://www.meritplumbing.com,(419) 841-3216,Maumee,OH,United States,B — Commercial/industrial trade,Piping & Plumbing,plumbing,73,Yes,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"MCA NWO signatory mechanical contractor | ENRICH 2026-07-28: meritplumbing.com home and /about-us checked — no names, titles or email addresses published anywhere. 480 W Dussel Dr., Suite 160, Maumee OH 43537; phone (419) 841-3216 matches record; fax (419) 458-2872. Canonical domain is meritplumbing.com without www. Nothing recorded."
Mechanical Industrial Insulation,,,(517) 323-4544,Lansing,MI,United States,A — Industrial/turnaround,Insulation,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Mechanical insualtion, asbestos abatement, lead abatement"" (spelling as shown). Abatement = heavy cert load. | ENRICH 2026-07-28: no company website found. Do not confuse with Michigan Mechanical Insulation (Smart Energy Insulation, Farmington Hills) — different firm."
"Gem, Inc. (Michigan — CAM listing)",,,,,MI,United States,A — Industrial/turnaround,Millwright,,58,No,,,,CAM Buyers Guide – Millwrighting category,https://www.cambuyersguide.com/listings/category/53200-millwrighting,"BRONZE member under Millwrighting and Machinery Moving Rig. & Erect. Name only. POSSIBLE DUPLICATE of GEM, Inc. (Walbridge OH) — verify before contacting. | ENRICH 2026-07-28: no separate Michigan GEM entity found. GEM Inc (Rudolph Libbe Group) runs a Southeast Michigan office at 734.455.0600 — treat as the same company as the Walbridge OH record and likely a duplicate."
Shoreview Electric Co.,shoreviewelectric.com,https://www.shoreviewelectric.com,(586) 463-8900,Clinton Township,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,contact@shoreviewelectric.com,ABC Southeastern Michigan member directory (PDF),https://static1.squarespace.com/static/627041bf945c7320b8e0eb78/t/62d6cea14ea9b658391de175/1658244770101/ABC+SEMI+Member+Directory.pdf,"Division 26 – Electrical. | ENRICH 2026-07-28: No current staff named anywhere on own site (home, /about-shoreview-electric, /contact) — only historical founder Harry Puma (1966). General inbox contact@shoreviewelectric.com printed on contact page. No safety or team page exists. 37839 Groesbeck Hwy, Clinton Township MI 48036; phone matches."
Day & Zimmerman NPS,dayzim.com,https://www.dayzim.com,(419) 321-8303,Lancaster,PA,United States,A — Industrial/turnaround,Industrial Services,industrial,87,No,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Listed with a 419 (NW Ohio) phone number; category 'Industrial'. National firm — likely too large, verify | ENRICH 2026-07-28: dayzim.com/about/leadership names Jason Dunaway, President, Maintenance and Construction — the division that covers the NPS business on this record. No safety/EHS officer listed at corporate level and no emails or phone numbers published on the site. Confirms the 'likely too large' flag: Fortune-scale, Chair & CEO Harold L. Yoh III."
"Sibley, Inc.",sibleyinc.com,https://sibleyinc.com,(440) 324-2000,Elyria,OH,United States,B — Commercial/industrial trade,Sheet Metal,,59,No,,,,SMACNA North Central Ohio - Contractor Members,https://www.smacna-nco.com/,"ENRICH 2026-07-28: sibleyinc.com could not be fetched on four attempts (TLS internal error while retrieving robots.txt, on both http and https and on /5.html), so the company's own site yielded nothing. Site confirmed live and correct via the SMACNA of North Central Ohio member list (41530 Schadden Road, Elyria OH 44035, (440) 324-2000, matching the stored phone). The Construction Employers Association member directory (ceacisp.org) names Kevin Crosby as the company contact, with NO title and NO email published. Note: an unrelated 'Sibley Sheet Metal, Inc.' exists in Sibley, IA — not this company."
Vedder Electric,vedderelectric.com,http://www.vedderelectric.com,(734) 662-6220,Ann Arbor,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,,MI NECA member list (Southcentral Division),https://michiganneca.org/neca-members/,"ENRICH 2026-07-28: WEBSITE FOUND (field was blank): vedderelectric.com. Home page and https://www.vedderelectric.com/contact-vedder-electric-ann-arbor-mi both checked — NO names, NO titles, NO email addresses published anywhere; contact is phone-only. Phone 734-662-6220 matches record. 2151 S State St, Ann Arbor MI 48104; mailing PO Box 2077, Ann Arbor MI 48106. Site content is residential/light-commercial service oriented (repairs, panel upgrades, generators), so industrial fit is weak. A parallel domain vedderelectric2.com also exists. Nothing recorded; status left Not contacted."
Wilkes & Co Inc,wilkesandcompany.com,https://www.wilkesandcompany.com,(419) 433-2325,Huron,OH,United States,B — Commercial/industrial trade,Piping & Plumbing,,55,No,,,info@wilkesandcompany.com,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Also in Greater Sandusky directory as 'Wilkes Plumbing and Heating', Huron OH. | ENRICH 2026-07-28: Official site located and added: wilkesandcompany.com, trading as 'Wilkes Plumbing and Heating' (205 Sprowl Rd., Huron OH 44839; phone 419-433-2325 matches record exactly). /contact publishes the general inbox info@wilkesandcompany.com and no individual names or titles — the only byline on the page is the CMS author 'cluaton', which was not treated as a contact."
Murray Painting Co.,murraypainting.net,https://murraypainting.net,(989) 695-8152,Freeland,MI,United States,A — Industrial/turnaround,Industrial Cleaning & Coatings,industrial painting,97,Yes,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Industrial and commercial union painters"". | ENRICH 2026-07-28: Official site murraypainting.net. Full staff directory with individual emails published on /about/. Andy Bovee = Safety Director (andy@murraypainting.net). Also J.D. Williams, VP of Environmental, Health & Safety (JD@murraypainting.net) and Justin Murray, VP of Operations/COO (justin@murraypainting.net). Best-documented contact set in this batch."
"Bierlein Companies, Inc.",bierlein.com,https://www.bierlein.com,(989) 496-0066,Midland,MI,United States,A — Industrial/turnaround,Industrial Services,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Demolition, dismantling, environmental services"". | ENRICH 2026-07-28: Official site bierlein.com found; 2000 Bay City Rd, Midland MI 48642, 989.496.0066 / 800.336.6626. Checked /contact, /safety, /our-people and /estimate — no individual names, titles or email addresses published anywhere (web forms only). 300+ employees. Nothing recordable; leaving contact fields blank."
Superior Electric Great Lakes Company,seglc.com,https://www.seglc.com,(248) 585-3400,Auburn Hills,MI,United States,B — Commercial/industrial trade,Electrical,,59,No,,,,SMCNECA member list,https://www.smcneca.org/members,"ENRICH 2026-07-28: Full leadership team published at https://seglc.com/our-team — NO safety/EHS role listed, so picked highest operations role: Jeffery Smiley, Chief Operating Officer. Also published: Dale Massy President & CEO; Scott Janssen VP/CFO; Scott Dupuie VP Ann Arbor Operations; Larry Pittsley VP Tennessee Operations; Chris MacPherson VP Estimating; Steven Reap VP Engineering; Jacqueline Hernandez VP HR; JD Wilt CIO. ZERO email addresses published site-wide (/contact and /safety-and-quality both checked). Emergency line 810.533.5594. ESOP-owned. Note https://www.seglc.com 302-redirects to http://seglc.com."
G.E. Insulation Co,geinsulationco.com,https://geinsulationco.com/,(989) 687-4042,Sanford,MI,United States,A — Industrial/turnaround,Insulation,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Installation of insulation"". Contact shown on 2019 source: Ryan Smith — verify."
JAG Electric LC,jagelectric.net,https://jagelectric.net,(989) 868-9853,Reese,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,,MI NECA member list (Saginaw Division),https://michiganneca.org/neca-members/,"ENRICH 2026-07-28: Website was blank — added https://jagelectric.net (confirmed as JAG Electric & Communications, 1250 W. Vassar Rd., Reese MI 48757 via MI NECA member list https://michiganneca.org/neca-members/ Saginaw Division and CAM Buyers Guide). NO NAME/EMAIL FOUND: jagelectric.net blocks automated fetch of /about-us and /contact-us (robots.txt); homepage carries no names or emails. MI NECA and CAM listings publish no contact name. Needs manual visit."
"Harper Electric, Inc.",harperelectric.net,https://www.harperelectric.net,(734) 662-8367,Ann Arbor,MI,United States,B — Commercial/industrial trade,Electrical,,55,Yes,,,,MI NECA member list (Southcentral Division),https://michiganneca.org/neca-members/,"ENRICH 2026-07-28: Website found (was blank): https://www.harperelectric.net — identity confirmed, 6920 Jackson Road, Ann Arbor MI 48103 and phone 734-662-8367 matching the stored phone. NOTHING ELSE FOUND: no email address and no named people or titles on home, /services or /contact (fax 734-662-8394 only). No safety director published."
McNally-Nimergood,mcnally-nimergood.com,https://mcnally-nimergood.com,(989) 777-2361,Saginaw,MI,United States,A — Industrial/turnaround,Crane & Rigging,,73,No,,,,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Crane Rental, Heavy haul and transport"". Operator/rigger certification relevant. | ENRICH 2026-07-28: official site mcnally-nimergood.com located via search, but every page blocked fetching (robots.txt timeout) — contact info not verified."
"Northwest Custom Mechanical, LLC",,,(419) 782-5044,Defiance,OH,United States,B — Commercial/industrial trade,Mechanical,,55,No,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"ENRICH 2026-07-28: Searched thoroughly — no company website exists. Only directory aggregators (BBB, Yelp, DexKnows, Kompass etc), which are excluded as a contact source. Not listed in the MCA NW Ohio membership directory. NO CONTACT FOUND. Address per listings: 6482 N State Route 66, Defiance OH."
BLACK SWAMP STEEL,blackswampsteel.com,https://www.blackswampsteel.com,(419) 867-8050,Holland,OH,United States,A — Industrial/turnaround,Steel Erection,,91,Yes,,,,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"'Steel Erection Contractor', Signatory | ENRICH 2026-07-28: contact page repeatedly failed to load (robots.txt error); about/services pages carry no names or emails. No contact info obtained."
J.R. Heineman n Sons,jrheinemanscaffolding.com,https://jrheinemanscaffolding.com/,(989) 753-8483,Saginaw,MI,United States,A — Industrial/turnaround,Scaffolding,,73,No,,,admin@jrheineman.com,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""General Contractor, Concrete Contractor, Scaffold Builder"". Name transcribed exactly as shown in source (likely 'J.R. Heineman & Sons')."
NORON,noroninc.com,https://noroninc.com,(419) 726-2677,Toledo,OH,United States,B — Commercial/industrial trade,Sheet Metal,HVAC / sheet metal,73,Yes,,,,AGC of NW Ohio contractor directory,https://agcnwo.com/contractors,"'HVAC & Sheet Metal Contractor', Signatory. UA Local 50 lists 'Noron Inc.', Toledo, Mechanical/HVAC/Refrigeration | ENRICH 2026-07-28: Leadership page for Kevin M. Boeke, PE states he is 'Owner of and responsible for overall performance of Noron, Inc. (since October 2000)'. No formal job title string is printed, so Contact Title was left BLANK rather than inferring 'Owner'. /company-history adds Norbert Boeke (founder, 1981) and Mark J. Beauch (in the leadership section, no title stated). NO email addresses are published anywhere on the site, including /contact-us. 5465 Enterprise Blvd, Toledo OH 43612; phone (419) 726-2677 matches; also (248) 355-0270 and (734) 662-7282. OH LIC #24876, MI LIC #7115389."
"Hunter Co., R.M.",,,,,MI,United States,A — Industrial/turnaround,Insulation,,58,No,,,,CAM Buyers Guide – Insulation category,https://www.cambuyersguide.com/listings/category/44400-insulation,BRONZE member. Name only. | ENRICH 2026-07-28: probable match rmhunterco.com but the site's TLS certificate is invalid so the page could not be fetched or verified. Nothing recorded.
Warner Mechanical Corporation,warnermech.com,https://www.warnermech.com,(419) 332-7116,Fremont,OH,United States,B — Commercial/industrial trade,Piping & Plumbing,,59,Yes,,,info@warnermech.com,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"Services: Mechanical, Plumbing, HVAC. Also on MCA NWO pipe-welding contractor list. | ENRICH 2026-07-28: /team lists 13 names with titles — no safety/EHS role and no individual email addresses. Trent Bloomfield, Owner & President selected (also: Paul Perry, Vice President; Kevin Phillips, Senior Project Manager; Didi Chamberlain, HR). General inbox info@warnermech.com is published on the homepage. 1609 Dickinson Street, Fremont OH 43420; phone (419) 332-7116 matches."
Luxury Heating Co.,luxuryheatingco.com,https://luxuryheatingco.com,(440) 387-4999,Elyria,OH,United States,B — Commercial/industrial trade,HVAC & Controls,,59,No,,,,SMACNA North Central Ohio - Contractor Members,https://www.smacna-nco.com/,"ENRICH 2026-07-28: /about/our-team publishes 17 names with titles but NO email addresses and no safety/EHS role. Highest-priority match per ranking = Garry Weich, General Manager (also listed: Paul Samek, President; Wayne Dvorscak, Service Manager; Randy Moore / Brian Bendlock / Adam McCarthy, Project Managers). /contact-us is a form only. Address 5327 Ford Road, Elyria OH 44035; phone (440) 387-4999 matches."
"Gelock Transfer Line, Inc.",gelock.com,https://gelock.com,(616) 774-2828,Grand Rapids,MI,United States,A — Industrial/turnaround,Crane & Rigging,,73,No,,,sales@gelock.com,W. Soule approved subcontractor list (PDF),https://www.wsoule.com/wp-content/uploads/2019/01/Approved-Denied-subcontractors.pdf,"""Crane rigging services"". | ENRICH 2026-07-28: official site is gelock.com (Gelock Heavy Movers). No named staff published."
R.L. Bondy,bondy-insulation.com,https://bondy-insulation.com/,(419) 666-6899,Northwood,OH,United States,A — Industrial/turnaround,Insulation,industrial insulation,87,Yes,,,,Western Lake Erie Insulation Industry - Our Contractors,https://insulateoh.com/our-contractors/,Mechanical insulation services; Local 45 signatory
"System Solutions HVAC, LLC",sshvacllc.com,https://sshvacllc.com,(419) 290-5548,Holland,OH,United States,B — Commercial/industrial trade,HVAC & Controls,,55,No,,,,UA Local 50 contractor directory,https://ualocal50.com/blog/contractors/,"ENRICH 2026-07-28: Official site located and added: sshvacllc.com. /contact-services and /contact-sales publish no names, titles or email addresses (web forms only). Site address 6210 Merger Dr., Holland OH 43528 and site phone 567-302-8787, which differs from the stored (419) 290-5548. Nothing else recorded."
